"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05"
"Dorian Finney-Smith_DAL",NA,NA,0,NA,NA,0,0,NA
"Abdel Nader_BOS",NA,NA,NA,0,NA,0,0,NA
"Guerschon Yabusele_BOS",NA,NA,NA,0,NA,0,0,NA
"Kadeem Allen_BOS",NA,NA,NA,0,NA,0,0,NA
"Gordon Hayward_BOS",NA,NA,NA,0,NA,0,0,NA
"Jabari Bird_BOS",NA,NA,NA,0,NA,0,0,NA
"Edmond Sumner_IND",NA,NA,0,NA,0,NA,0,NA
"TJ Leaf_IND",NA,NA,0,NA,6.5,NA,6.25,NA
"Alex Poythress_IND",NA,NA,0,NA,0,NA,0,NA
"Ike Anigbogu_IND",NA,NA,0,NA,0,NA,0,NA
"Joe Young_IND",NA,NA,0,NA,0,NA,0,NA
"Damien Wilkins_IND",NA,NA,0,NA,0,NA,0,NA
"Cristiano Felicio_CHI",NA,0,NA,0,0,NA,0,NA
"Quincy Pondexter_CHI",NA,0,NA,0,0,NA,0,NA
"Ryan Arcidiacono_CHI",NA,0,NA,0,0,NA,0,NA
"Kay Felder_CHI",NA,0,NA,0,0,NA,7.75,NA
"Cameron Payne_CHI",NA,0,NA,0,0,NA,0,NA
"Jack Cooley_SAC",0,0,NA,NA,0,0,NA,NA
"Vince Carter_SAC",16.75,4.5,NA,NA,11.5,0,NA,NA
"Malachi Richardson_SAC",0,4,NA,NA,0,0,NA,NA
"Jakarr Sampson_SAC",0,0,NA,NA,0,0,NA,NA
"Harry Giles_SAC",0,0,NA,NA,0,0,NA,NA
"Georgios Papagiannis_SAC",0,0,NA,NA,0,0,NA,NA
"Cedi Osman_CLE",NA,0,NA,13.5,NA,0,2.75,NA
"John Holland_CLE",NA,0,NA,0,NA,0,0,NA
"Jose Calderon_CLE",NA,9.5,NA,6.5,NA,1.5,13,NA
"London Perrantes_CLE",NA,0,NA,0,NA,0,0,NA
"Khem Birch_ORL",NA,NA,0,NA,0,NA,0,NA
"Wes Iwundu_ORL",NA,NA,0,NA,0,NA,0,NA
"Adreian Payne_ORL",NA,NA,0,NA,0,NA,0,NA
"Jamel Artis_ORL",NA,NA,0,NA,0,NA,0,NA
"Nicolas Brussino_ATL",NA,NA,NA,0,NA,0,0,NA
"Tyler Dorsey_ATL",NA,NA,NA,0,NA,0,7.5,NA
"Josh Magette_ATL",NA,NA,NA,0,NA,0,0,NA
"Wayne Selden_MEM",NA,NA,0,NA,0,0,0,NA
"Kobi Simmons_MEM",NA,NA,0,NA,0,0,0,NA
"Vince Hunter_MEM",NA,NA,0,NA,0,0,0,NA
